Length,Count,Coverage,Query,Mosquito,Lowest E-value,Greatest identity %,Greatest HSP length,Family,Description (HSP length)
665,41,6.162406015,1_bowtie2_1_contig_13545,Aedes vexans,0,98.95,665,Rhabdoviridae,"MH188000.1 Culex rhabdovirus strain CRV/Kern, complete genome"
7456,1186,15.87875536,9_bowtie2_1_contig_639,Coquillettidia perturbans,0,70.97,6467,Phenuiviridae,MN661032.1 Atrato Gouko-like virus 1 strain Cx 1773-10 segment L cRNA sequence
1596,541,33.60526316,10_bowtie2_1_contig_2259,Culex tarsalis,0,97.31,1596,Iflaviridae,MW434121.1 Culex Iflavi-like virus 4 isolate CMS002_034a_COAV genomic sequence
7146,10676,149.1952141,19_bowtie2_1_contig_107,Culex tarsalis,5.56E-103,74.36,1287,Picornavirales,"KX883692.1 Hubei picorna-like virus 23 strain spider70066 hypothetical protein 1 gene, complete cds; and hypothetical protein 2 gene, partial cds"
582,29,5.029209622,1_bowtie2_1_contig_17859,Aedes vexans,0,91.39,581,Flaviviridae,MW434112.1 Placeda virus isolate CMS001_039_ALCO genomic sequence
6674,1194,18.01723105,40_bowtie2_1_contig_4590,Aedes vexans,0,74.93,2599,Iflaviridae,"LC310707.1 Armigeres iflavirus gene for polyprotein, complete cds, strain: 10P38-310"
6302,1481,23.66359886,33_bowtie2_1_contig_1882,Aedes vexans,0,75.21,1411,Tymoviridae,"NC_018703.1 Culex originated Tymoviridae-like virus, complete genome"
6071,731,12.13819799,31_bowtie2_1_contig_10455,Aedes canadensis,0,66.22,3913,Rhabdoviridae,MW434765.1 Canya virus isolate CMS002_037a_COAV genomic sequence
6059,45510,756.4337349,36_bowtie2_1_contig_237,Aedes vexans,0,100,6003,Tymoviridae,"MT240795.1 Hubei macula-like virus 3 hypothetical protein 1 and RNA-dependent RNA polymerase super family 3 genes, complete cds"
6049,470781,7745.384526,15_bowtie2_1_contig_56,Ochlerotatus dorsalis,0,99.04,6003,Tymoviridae,"MT240795.1 Hubei macula-like virus 3 hypothetical protein 1 and RNA-dependent RNA polymerase super family 3 genes, complete cds"
6035,1380,22.86031483,20_bowtie2_1_contig_1514,Aedes vexans,0,96.31,6008,Dicistroviridae,"MH267693.1 Black queen cell virus isolate BQCV_MR, complete genome"
6009,2235,37.23964054,1_bowtie2_1_contig_1299,Aedes vexans,0,77.88,6003,Tymoviridae,"MT240795.1 Hubei macula-like virus 3 hypothetical protein 1 and RNA-dependent RNA polymerase super family 3 genes, complete cds"
5994,2896,48.32399066,20_bowtie2_1_contig_938,Aedes vexans,0,99.23,5973,Tymoviridae,"MT240795.1 Hubei macula-like virus 3 hypothetical protein 1 and RNA-dependent RNA polymerase super family 3 genes, complete cds"
5993,2956,49.6953112,45_bowtie2_1_contig_735,Aedes vexans,0,99.02,5976,Tymoviridae,"MT240795.1 Hubei macula-like virus 3 hypothetical protein 1 and RNA-dependent RNA polymerase super family 3 genes, complete cds"
5993,1988,33.1044552,1_bowtie2_1_contig_3475,Aedes vexans,0,99.02,5977,Tymoviridae,"MT240795.1 Hubei macula-like virus 3 hypothetical protein 1 and RNA-dependent RNA polymerase super family 3 genes, complete cds"
5955,3192,53.96003359,45_bowtie2_1_contig_1263,Aedes vexans,0,77.78,5976,Tymoviridae,"MT240795.1 Hubei macula-like virus 3 hypothetical protein 1 and RNA-dependent RNA polymerase super family 3 genes, complete cds"
5924,2772,46.63605672,19_bowtie2_1_contig_767,Culex tarsalis,0,88.36,5873,Picornavirales,MN661036.1 Atrato picorna-like virus 1 strain Psal 1743-6 genomic sequence
392,12,3.012755102,16_bowtie2_1_contig_38210,Ochlerotatus dorsalis,0,100,392,Dicistroviridae,"MT195550.1 Soybean thrips dicistrovirus 1 strain STN1, complete genome"
5763,76177,1313.138817,18_bowtie2_1_contig_112,Coquillettidia perturbans,0,74.04,1997,Iflaviridae,"LC310707.1 Armigeres iflavirus gene for polyprotein, complete cds, strain: 10P38-310"
5705,393708,6822.459597,13_bowtie2_1_contig_16,Ochlerotatus dorsalis,0,73.5,2599,Iflaviridae,"LC310707.1 Armigeres iflavirus gene for polyprotein, complete cds, strain: 10P38-310"
549,28,5.134790528,1_bowtie2_1_contig_26573,Aedes vexans,0,99.09,549,Rhabdoviridae,"MH188000.1 Culex rhabdovirus strain CRV/Kern, complete genome"
346,15,4.36416185,16_bowtie2_1_contig_39934,Ochlerotatus dorsalis,1.44E-170,98.84,345,Dicistroviridae,"MT195550.1 Soybean thrips dicistrovirus 1 strain STN1, complete genome"
887,65,7.365276212,10_bowtie2_1_contig_14410,Culex tarsalis,0,99.1,887,Rhabdoviridae,MW434773.1 Merida virus isolate CMS002_040a_COAV genomic sequence
5200,2034,38.96884615,1_bowtie2_1_contig_1174,Aedes vexans,5.25E-108,65.78,1746,Iflaviridae,"MT498832.1 Fitzroy Crossing iflavirus 1 isolate FCIV1/pool-6, complete genome"
2304,13003,561.5013021,25_bowtie2_1_contig_120,Aedes vexans,0,83.19,2308,Negevirus,"KX518773.1 Cordoba virus strain Nepal24-3 hypothetical protein 1 gene, complete cds"
693,37,5.307359307,10_bowtie2_1_contig_14860,Culex tarsalis,0,97.95,682,Tombusviridae,MW434925.1 Hubei mosquito virus 4 isolate CMS002_028e_WVAL genomic sequence
5085,3492,68.54237955,6_bowtie2_1_contig_1021,Aedes vexans,0,71.05,5070,Rhabdoviridae,"NC_040669.1 Riverside virus 1 strain RISV-Drava 1, complete genome"
5027,2135,42.23731848,5_bowtie2_1_contig_3063,Aedes vexans,0,72.49,2642,Rhabdoviridae,"NC_040669.1 Riverside virus 1 strain RISV-Drava 1, complete genome"
509,24,4.768172888,10_bowtie2_1_contig_14506,Culex tarsalis,0,98.62,509,Rhabdoviridae,MW434773.1 Merida virus isolate CMS002_040a_COAV genomic sequence
4961,958423,19262.40012,24_bowtie2_1_contig_18,Ochlerotatus flavescens,0,71.81,1665,Picornavirales,"MN784071.1 Perrin Park virus strain PPKV 205642 hypothetical protein gene, complete cds"
1243,126,10.05551086,1_bowtie2_1_contig_19866,Aedes vexans,0,92.44,1243,Flaviviridae,MW434112.1 Placeda virus isolate CMS001_039_ALCO genomic sequence
4909,701,14.39111835,32_bowtie2_1_contig_2176,Ochlerotatus triseriatus,0,80.95,2874,,MN661078.1 Pisingos virus strain Cqly 1752-1.1 genomic sequence
4762,1139,23.74779504,1_bowtie2_1_contig_3172,Aedes vexans,0,90.72,4761,Flaviviridae,MW434110.1 Placeda virus isolate CMS002_056a_PLCR genomic sequence
4762,4033,85.22385552,43_bowtie2_contig_58,Culex tarsalis,0,88.55,4724,Nodaviridae,"KX883125.1 Hubei noda-like virus 12 strain mosZJ34483 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
895,62,6.861452514,10_bowtie2_1_contig_10028,Culex tarsalis,0,99.89,895,Peribunyaviridae,"MW434616.1 Culex Bunyavirus 2 isolate CMS002_022a_SAND RNA-dependent RNA polymerase gene, complete cds"
847,1261,145.6623377,1_bowtie2_1_contig_3378,Aedes vexans,1.31E-150,74.14,847,Picornavirales,"MH703050.1 Yongsan picorna-like virus 1 strain 16-0061/ROK/2016 putative polyprotein gene, partial cds"
4648,2393,51.60133391,2_bowtie2_1_contig_1501,Aedes vexans,1.64E-126,72.85,1473,Rhabdoviridae,"MT240827.1 Menghai rhabdovirus isolate GD18008, complete genome"
619,40,6.441033926,1_bowtie2_1_contig_29071,Aedes vexans,0,99.35,619,Rhabdoviridae,"MH664040.1 Flanders hapavirus isolate CO11-P247, complete genome"
2081,18983,914.799135,25_bowtie2_1_contig_121,Aedes vexans,0,83.43,2010,Negevirus,"KX518773.1 Cordoba virus strain Nepal24-3 hypothetical protein 1 gene, complete cds"
344,19,5.537790698,10_bowtie2_1_contig_18319,Culex tarsalis,1.10E-165,97.97,344,Rhabdoviridae,MW434772.1 Merida virus isolate CMS002_041a_COAV genomic sequence
4391,1054,24.13846504,33_bowtie2_1_contig_9552,Aedes vexans,0,95.83,4330,Chuviridae,"KX924631.1 Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds"
4352,1863,42.72265625,33_bowtie2_1_contig_4225,Aedes vexans,0,81.89,4351,Negevirus,"MT522375.1 Mekrijarvi negevirus isolate P39, complete genome"
4328,1295,29.45240296,22_bowtie2_1_contig_1288,Aedes vexans,0,72.59,2659,Rhabdoviridae,"NC_040669.1 Riverside virus 1 strain RISV-Drava 1, complete genome"
4294,1371,32.07824872,24_bowtie2_1_contig_2200,Ochlerotatus flavescens,2.24E-124,76.19,2057,Iflaviridae,"MT498832.1 Fitzroy Crossing iflavirus 1 isolate FCIV1/pool-6, complete genome"
4264,308,7.245075047,22_bowtie2_1_contig_2517,Aedes vexans,1.71E-138,70.48,1113,Picornavirales,"KX883918.1 Hubei mosquito virus 1 strain mosZJ34341 hypothetical protein gene, complete cds"
4218,368,8.772878141,26_bowtie2_1_contig_5758,Culex tarsalis,0,92.11,2471,Iflaviridae,"LC310707.1 Armigeres iflavirus gene for polyprotein, complete cds, strain: 10P38-310"
285,68,22.63859649,11_bowtie2_1_contig_10239,Culex tarsalis,3.56E-139,98.95,285,Iflaviridae,MW434121.1 Culex Iflavi-like virus 4 isolate CMS002_034a_COAV genomic sequence
706,173,23.17705382,11_bowtie2_1_contig_11120,Culex tarsalis,0,99.01,706,Iflaviridae,MW434121.1 Culex Iflavi-like virus 4 isolate CMS002_034a_COAV genomic sequence
604,417,67.16225166,1_bowtie2_1_contig_8332,Aedes vexans,9.19E-113,76.03,578,Picornavirales,"MH703050.1 Yongsan picorna-like virus 1 strain 16-0061/ROK/2016 putative polyprotein gene, partial cds"
3977,819,20.60925321,45_bowtie2_1_contig_557,Aedes vexans,0,72.2,2715,Rhabdoviridae,"NC_040669.1 Riverside virus 1 strain RISV-Drava 1, complete genome"
893,90,10.10974244,19_bowtie2_1_contig_10502,Culex tarsalis,0,99.78,893,Dicistroviridae,"MT195550.1 Soybean thrips dicistrovirus 1 strain STN1, complete genome"
3910,878,22.5943734,22_bowtie2_1_contig_1695,Aedes vexans,5.11E-170,70,2213,Picornavirales,"KX883917.1 Hubei mosquito virus 1 strain mosHB236488 hypothetical protein gene, complete cds"
501,19,3.824351297,19_bowtie2_1_contig_11646,Culex tarsalis,0,99.8,501,Dicistroviridae,"MT195550.1 Soybean thrips dicistrovirus 1 strain STN1, complete genome"
3835,636,16.59608866,18_bowtie2_1_contig_1990,Coquillettidia perturbans,0,98.57,3834,Iflaviridae,"MT224138.1 Soybean thrips iflavirus 4 strain STN1 polyprotein gene, complete cds"
3781,1488,39.25178524,6_bowtie2_1_contig_7438,Aedes vexans,0,93.07,3710,Chuviridae,"KX924631.1 Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds"
1279,1460,114.4722439,25_bowtie2_1_contig_2649,Aedes vexans,0,83.66,1279,Negevirus,"KX518773.1 Cordoba virus strain Nepal24-3 hypothetical protein 1 gene, complete cds"
3695,1607,43.63870095,2_bowtie2_1_contig_967,Aedes vexans,0,70.96,2280,Rhabdoviridae,"NC_040669.1 Riverside virus 1 strain RISV-Drava 1, complete genome"
448,93,20.19866071,11_bowtie2_1_contig_13505,Culex tarsalis,0,99.11,448,Iflaviridae,MW434121.1 Culex Iflavi-like virus 4 isolate CMS002_034a_COAV genomic sequence
668,67,9.878742515,1_bowtie2_1_contig_38945,Aedes vexans,0,99.1,666,Rhabdoviridae,"MH664041.1 Flanders hapavirus isolate CO11-P336, complete genome"
3565,2098,58.64628331,1_bowtie2_1_contig_2684,Aedes vexans,0,71.27,3203,Rhabdoviridae,"NC_040669.1 Riverside virus 1 strain RISV-Drava 1, complete genome"
2960,508,16.94797297,13_bowtie2_1_contig_2085,Ochlerotatus dorsalis,0,74.1,2405,Picornavirales,"MH703050.1 Yongsan picorna-like virus 1 strain 16-0061/ROK/2016 putative polyprotein gene, partial cds"
3488,586,16.87786697,23_bowtie2_contig_3712,Culex tarsalis,1.94E-168,87.18,2226,Picornavirales,"KX883918.1 Hubei mosquito virus 1 strain mosZJ34341 hypothetical protein gene, complete cds"
3256,8420,258.2546069,1_bowtie2_1_contig_2023,Aedes vexans,0,73.93,3232,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
3430,4337,126.2848397,1_bowtie2_1_contig_300,Aedes vexans,0,78.65,2191,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
831,29,3.480144404,16_bowtie2_1_contig_18153,Ochlerotatus dorsalis,7.57E-160,75.21,831,Birnaviridae,"MH310085.1 Culex Y virus isolate CC_U VP1 gene, partial cds"
683,35,5.142020498,16_bowtie2_1_contig_30594,Ochlerotatus dorsalis,2.80E-164,79.3,683,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
854,87,10.19555035,18_bowtie2_1_contig_14349,Coquillettidia perturbans,0,85.15,854,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
378,22,5.835978836,18_bowtie2_1_contig_29007,Coquillettidia perturbans,4.88E-101,81.96,377,Birnaviridae,"MH188054.1 Culex Y virus strain CYV/Kern, partial genome"
422,11,2.618483412,18_bowtie2_1_contig_29352,Coquillettidia perturbans,3.25E-110,81.56,422,Birnaviridae,"MH310085.1 Culex Y virus isolate CC_U VP1 gene, partial cds"
3245,2910,90.10107858,2_bowtie2_1_contig_196,Aedes vexans,0,73.86,3232,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
3429,2298,67.2992126,2_bowtie2_1_contig_2535,Aedes vexans,0,78.65,2191,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
3411,681,19.9525066,20_bowtie2_1_contig_4600,Aedes vexans,0,78.55,2171,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
3221,868,26.84911518,20_bowtie2_1_contig_5082,Aedes vexans,0,73.91,3214,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
654,31,4.785932722,21_bowtie2_1_contig_2862,Anopheles earlei,1.30E-155,78.96,651,Birnaviridae,"MT263974.1 Port Bolivar virus isolate GMC-202 segment B, complete sequence"
794,47,5.892947103,21_bowtie2_1_contig_2863,Anopheles earlei,1.59E-136,74.76,741,Birnaviridae,"MH310085.1 Culex Y virus isolate CC_U VP1 gene, partial cds"
709,45,6.404795487,21_bowtie2_1_contig_7615,Anopheles earlei,7.82E-140,76.33,692,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
704,36,5.161931818,21_bowtie2_1_contig_7690,Anopheles earlei,1.60E-148,76.86,700,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
3426,663,19.35288967,18_bowtie2_1_contig_2098,Coquillettidia perturbans,0,98.33,3420,Iflaviridae,MW434113.1 Cafluga virus isolate CMS001_060_ALCO genomic sequence
3251,22762,704.8089819,22_bowtie2_1_contig_414,Aedes vexans,0,73.89,3246,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
3438,9115,267.0290867,22_bowtie2_1_contig_460,Aedes vexans,0,78.62,2192,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
3413,623,18.40199238,40_bowtie2_1_contig_2710,Aedes vexans,0,92.11,3417,Chuviridae,"KX924631.1 Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds"
647,32,4.970633694,23_bowtie2_contig_11677,Culex tarsalis,3.68E-156,79.42,650,Birnaviridae,"NC_016518.1 Espirito Santo virus segment A, complete genome"
1563,114,7.358285349,23_bowtie2_contig_11890,Culex tarsalis,0,84.78,1544,Birnaviridae,"MH310085.1 Culex Y virus isolate CC_U VP1 gene, partial cds"
3379,796,23.50014797,12_bowtie2_1_contig_2942,Culex tarsalis,6.56E-111,69.51,2057,Iflaviridae,"MT498832.1 Fitzroy Crossing iflavirus 1 isolate FCIV1/pool-6, complete genome"
3367,589,17.58954559,37_bowtie2_1_contig_1357,Aedes vexans,0,91.44,3347,Parvoviridae,"MH188047.1 Culex densovirus strain CDenV/Madera-5, partial genome"
2053,119,5.842182172,23_bowtie2_contig_6840,Culex tarsalis,0,78.96,1221,Birnaviridae,"MH310084.1 Culex Y virus isolate CC_U polyprotein gene, partial cds"
3355,6770,202.9898659,28_bowtie2_1_contig_422,Coquillettidia perturbans,0,90.94,3347,Parvoviridae,"MH188047.1 Culex densovirus strain CDenV/Madera-5, partial genome"
3353,3931,117.9397554,38_bowtie2_contig_231,Culex tarsalis,0,91.08,3346,Parvoviridae,"MH188047.1 Culex densovirus strain CDenV/Madera-5, partial genome"
525,17,3.175238095,1_bowtie2_1_contig_36946,Aedes vexans,6.92E-177,87.52,505,Flaviviridae,MW434110.1 Placeda virus isolate CMS002_056a_PLCR genomic sequence
582,38,6.498281787,1_bowtie2_1_contig_39542,Aedes vexans,0,92.27,582,Flaviviridae,MW434110.1 Placeda virus isolate CMS002_056a_PLCR genomic sequence
1720,790,45.73953488,10_bowtie2_1_contig_1867,Culex tarsalis,0,98.55,1720,Rhabdoviridae,MW434769.1 Merida virus isolate CMS002_035a_COAV genomic sequence
1108,81,7.374548736,23_bowtie2_contig_7897,Culex tarsalis,2.74E-154,88.89,1107,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
3260,63438,1959.322393,25_bowtie2_1_contig_438,Aedes vexans,0,73.9,3247,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
3440,16546,484.3831395,25_bowtie2_1_contig_75,Aedes vexans,0,78.66,2192,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
3205,492,15.47269891,26_bowtie2_1_contig_1576,Culex tarsalis,0,73.72,3200,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
3268,175,5.35495716,18_bowtie2_1_contig_17125,Coquillettidia perturbans,0,99.57,3267,Iflaviridae,"MT224138.1 Soybean thrips iflavirus 4 strain STN1 polyprotein gene, complete cds"
707,101,14.41584158,26_bowtie2_1_contig_2826,Culex tarsalis,4.91E-174,79.69,706,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
2743,527,19.34487787,26_bowtie2_1_contig_6839,Culex tarsalis,0,78.21,1507,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
3441,8993,263.2711421,27_bowtie2_1_contig_3144,Aedes vexans,0,78.66,2192,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
3257,23153,715.8704329,27_bowtie2_1_contig_512,Aedes vexans,0,73.9,3247,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
616,17,2.785714286,28_bowtie2_1_contig_22265,Coquillettidia perturbans,1.07E-124,76.77,614,Birnaviridae,"MH188054.1 Culex Y virus strain CYV/Kern, partial genome"
3194,477,15.06324358,28_bowtie2_1_contig_5216,Coquillettidia perturbans,0,73.8,3189,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
3426,2631,77.39959136,29_bowtie2_1_contig_1050,Aedes vexans,0,78.66,2192,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
3259,6327,195.623811,29_bowtie2_1_contig_1433,Aedes vexans,0,73.93,3232,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
3200,6504,202.2659375,3_bowtie2_1_contig_1588,Aedes vexans,0,74.01,3188,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
3428,3411,99.2138273,3_bowtie2_1_contig_3307,Aedes vexans,0,78.62,2192,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
1427,127,8.955851,30_bowtie2_contig_11240,Culex tarsalis,0,84.69,983,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
3220,422,13.19752,30_bowtie2_contig_3764,Culex tarsalis,0,73.87,3217,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
1950,170,8.757949,30_bowtie2_contig_6468,Culex tarsalis,0,77.91,1941,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
3270,29787,917.2149847,33_bowtie2_1_contig_307,Aedes vexans,0,73.9,3247,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
3446,10931,319.5690656,33_bowtie2_1_contig_906,Aedes vexans,0,78.66,2192,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
632,28,4.474683544,34_bowtie2_contig_18712,Culex tarsalis,1.86E-134,77.25,632,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
779,24,3.103979461,34_bowtie2_contig_20116,Culex tarsalis,1.20E-169,77.22,777,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
3258,31642,978.2348066,35_bowtie2_1_contig_47,Aedes vexans,0,73.83,3247,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
3436,7325,214.7628056,35_bowtie2_1_contig_500,Aedes vexans,0,78.66,2192,Birnaviridae,"MT263973.1 Port Bolivar virus isolate GMC-202 segment A, complete sequence"
3304,15291,465.6758475,36_bowtie2_1_contig_155,Aedes vexans,0,73.9,3247,Birnaviridae,"NC_016517.1 Espirito Santo virus segment B, complete genome"
1720,93,5.448837209,1_bowtie2_1_contig_3575,Aedes vexans,0,99.53,1719,Luteoviridae,MW434899.1 Marma virus isolate CMS001_040_ALCO segment RNA1 genomic sequence
1658,2166,129.685766,10_bowtie2_1_contig_1948,Culex tarsalis,0,99.16,1658,Luteoviridae,MW434832.1 Marma virus isolate CMS002_040a_COAV segment RNA2 genomic sequence
3159,3881,122.7049699,10_bowtie2_1_contig_401,Culex tarsalis,0,99.33,3151,Luteoviridae,MW434890.1 Marma virus isolate CMS002_051a_PLCR segment RNA1 genomic sequence
1654,1209,72.71886336,11_bowtie2_1_contig_2304,Culex tarsalis,0,99.21,1654,Luteoviridae,MW434832.1 Marma virus isolate CMS002_040a_COAV segment RNA2 genomic sequence
